year,ccode,warnum,batdeath,wbgdp2011est,wbpopest,sdpest,wbgdppc2011est,milex,milper,irst,pec,tpop,upop,cinc,v2x_polyarchy,polity2,xm_qudsest,batdeathpc,milexpsdp
1944,310,139,136000,24.334,16.008,24.025,8.325,433638,NA,694,7621,9497,1379,0.0045461338,0.236,NA,-0.12794451020381134,0.014320311677371802,0.01596623087616992
1919,310,112,6000,23.976,15.852,23.583,8.124,9584,27,0,3054,7880,1176,0.0037790004,0.218,-7,-0.4965036310603635,7.614213197969543e-4,5.49009726056022e-4
1943,310,139,136000,24.381,16.01,24.089,8.372,242120,NA,776,9246,9442,1364,0.0047857515,0.27,-1,0.21531742227338527,0.014403728023723788,0.008362014006658796
1956,310,156,926,24.676,16.069,24.452,8.607,212680,215,1415,13411,9911,1824,0.0050237193,0.135,NA,-0.43546596862629816,9.343154071233982e-5,0.00510925972381143
1919,315,112,2000,24.565,16.377,24.203,8.189,21741,150,786,20823,13398,929,0.01059422,NA,7,0.6462448242344633,1.4927601134497685e-4,6.699620002446288e-4
1941,325,139,174500,26.163,17.577,25.934,8.586,541238,NA,2063,15703,44830,8432,0.020050535,0.056,-9,-0.8335432851527271,0.0038924827124693284,0.002953895905850107
1940,325,139,174500,26.176,17.573,25.951,8.603,606523,1634,2258,17366,44470,8304,0.029523287,0.056,-9,-0.8335432851527271,0.003923993703620419,0.0032544018232636435
1866,325,55,4000,24.982,17.035,24.492,7.947,22345,233,20,541,25200,1639,0.050006986,0.203,-4,-0.02695054123057998,1.5873015873015873e-4,5.157507975371281e-4
1915,325,106,650000,25.816,17.394,25.541,8.422,105871,3159,1009,9206,36390,4014,0.033980358,0.385,-1,0.2349471662326289,0.017862050013740038,8.559761279000654e-4
1943,325,139,52400,26.044,17.593,25.777,8.451,412981,1702,1727,3388,44830,8682,0.021931492,0.053,0,-0.16461130238883373,0.0011688601383002455,0.0026370672882260913
1848,325,10,3400,24.646,16.592,24.218,8.055,3985,70,20,56,4916,237,0.018390941,0.187,-7,-0.49407327081879276,6.916192026037429e-4,1.2097191705084927e-4
1849,325,10,3400,24.693,16.747,24.202,7.946,3646,70,20,61,4928,238,0.017559942,0.219,-7,-0.49407327081879276,6.89935064935065e-4,1.124660942961568e-4
