warnum,year,batdeath,batdeathpc,tpop,milper,milex,sum_sdpest,mea_sdpest,med_sdpest,min_sdpest,max_sdpest,sum_wbgdp2011est,mea_wbgdp2011est,med_wbgdp2011est,min_wbgdp2011est,max_wbgdp2011est,min_polyarchy,med_polyarchy,mea_polyarchy,max_polyarchy,min_polity2,med_polity2,mea_polity2,max_polity2,wpop
127,1935,20000,3.576793762071679e-4,55916,1480,513379,176044035079.57108,88022017539.78554,88022017539.78554,1,176044035078.57108,225724847484.7152,112862423742.3576,112862423742.3576,4598518392.624916,221126329092.0903,0.018,0.039,0.039,0.06,-9,-7,-7,-5,1469784000
130,1937,1000000,0.0017148158373531475,583153,2393,1350357,217834186950.2141,108917093475.10706,108917093475.10706,1,217834186949.2141,807802038367.1416,403901019183.5708,403901019183.5708,291994265405.6209,515807772961.5207,0.094,0.14200000000000002,0.14200000000000002,0.19,1,1,1,1,1499984000
133,1938,1726,7.256003228627161e-6,237872,1936,7129194,733691983948.8304,366845991974.4152,366845991974.4152,233628947659.89267,500063036288.93774,993719832193.7184,496859916096.8592,496859916096.8592,308503800653.374,685216031540.3444,0.094,0.136,0.136,0.178,-9,-4,-4,1,1516361000
136,1939,48000,1.5295538482618852e-4,313817,3705,9384063,1010836999883.0815,252709249970.7704,255886545103.033,1,499063909676.0155,1353560007840.4353,338390001960.1088,331535258036.1467,460120974.0787132,690029370794.0631,0.094,0.1375,0.13624999999999998,0.176,-9,-4,-4,1,1536474000
139,1939,179170612,0.015384531870738776,11646153,291194,851848026,44765414561159.86,221610963174.05872,73508811125.56427,1,1787787611303.752,56392306392826.32,279169833627.8531,109151209394.99107,534584303.4821428,1928955923138.7988,0.014,0.147,0.26774129353233833,0.811,-10,-1,-1.1868131868131868,10,1536474000
142,1939,151798,8.723270982386575e-4,174015,1826,6052614,517507818354.6328,258753909177.3164,258753909177.3164,18443908678.6173,499063909676.0155,712354974387.4197,356177487193.70984,356177487193.70984,22325603593.356598,690029370794.0631,0.094,0.323,0.323,0.552,-9,-2.5,-2.5,4,1536474000
145,1940,1400,2.4773061065595527e-5,56513,5000,5718276,219379205214.15167,109689602607.07584,109689602607.07584,5644796588.641277,213734408625.5104,270748437552.42456,135374218776.21228,135374218776.21228,21927337873.27329,248821099679.15128,0.166,0.281,0.281,0.396,-9,-6,-6,-3,1526486000
147,1947,3500,8.445599480716283e-6,414417,586,218680,19062711761.50226,9531355880.75113,9531355880.75113,1,19062711760.50226,445938335190.1285,222969167595.06424,222969167595.06424,42213250432.71545,403725084757.413,0.177,0.203,0.203,0.229,-4,-4,-4,-4,1918617000
148,1948,40000,5.837030119075414e-4,68528,1078,599414,104736399157.70491,5236819957.885245,5516447934.610498,391697336.9833084,10998227935.559645,179329723931.7161,8966486196.585804,6657434253.169049,1888408032.0688963,21279287101.727085,0.144,0.287,0.2557,0.339,-10,7.5,4.4,10,1984260000
151,1950,10690460,0.0011894683727960594,8987595,58960,81201066,7625219412612.768,136164632368.08513,2725724223.9286256,1,2401224664474.849,15723082198064.78,280769324965.44244,76054003497.25162,10091910507.313854,2562488570268.2344,0.018,0.107,0.2847142857142857,0.809,-9,-7,-1.3928571428571428,10,2144164000
